run,status,t_gap_attempt,t_deadlock,t_force_merge,t_abnormal_loop,t_exit_success,recovery_s,arc_duration_s,c18_after_merge_s,exit_after_c18_s
run0001_C1_20260629_195013.jsonl.gz,ok,2200.567,2273.375,2331.298,2336.298,2421.49,148.11,220.92,5.0,85.19
run0003_C1_20260629_200005.jsonl.gz,ok,149.186,221.993,279.917,284.917,370.109,148.12,220.92,5.0,85.19
run0005_C1_20260629_200959.jsonl.gz,ok,148.408,221.216,279.178,284.178,374.639,153.42,226.23,5.0,90.46
run0007_C1_20260629_201954.jsonl.gz,ok,148.528,221.335,279.258,284.297,369.451,148.12,220.92,5.04,85.15
run0009_C1_20260629_202948.jsonl.gz,ok,148.086,220.893,278.816,283.855,369.009,148.12,220.92,5.04,85.15
run0011_C1_20260629_203941.jsonl.gz,ok,148.295,221.102,279.064,284.102,374.525,153.42,226.23,5.04,90.42
run0013_C1_20260629_204939.jsonl.gz,ok,148.691,221.499,279.461,284.499,374.922,153.42,226.23,5.04,90.42
run0015_C1_20260629_205936.jsonl.gz,ok,148.041,220.848,278.81,283.81,374.271,153.42,226.23,5.0,90.46
run0017_C1_20260629_210934.jsonl.gz,ok,148.248,221.056,278.979,284.018,369.171,148.11,220.92,5.04,85.15
run0019_C1_20260629_211925.jsonl.gz,ok,148.438,221.246,279.169,284.207,369.361,148.11,220.92,5.04,85.15
run0021_C1_20260629_212918.jsonl.gz,ok,148.445,221.252,279.214,284.214,374.675,153.42,226.23,5.0,90.46
run0023_C1_20260629_213916.jsonl.gz,ok,148.375,221.183,279.106,284.144,369.298,148.12,220.92,5.04,85.15
run0025_C1_20260629_214910.jsonl.gz,ok,148.536,221.344,279.306,284.344,374.767,153.42,226.23,5.04,90.42
run0027_C1_20260629_215907.jsonl.gz,ok,148.197,221.005,278.966,283.966,374.428,153.42,226.23,5.0,90.46
run0029_C1_20260629_220906.jsonl.gz,ok,148.444,221.252,279.175,284.213,369.367,148.12,220.92,5.04,85.15
run0031_C1_20260629_221900.jsonl.gz,ok,148.627,221.397,279.397,284.397,374.858,153.46,226.23,5.0,90.46
run0033_C1_20260629_222858.jsonl.gz,ok,148.244,221.052,279.013,284.052,374.475,153.42,226.23,5.04,90.42
run0035_C1_20260629_223722.jsonl.gz,ok,148.449,221.256,279.18,284.218,369.372,148.12,220.92,5.04,85.15
run0037_C1_20260629_224716.jsonl.gz,ok,148.326,221.134,279.095,284.134,374.557,153.42,226.23,5.04,90.42
run0039_C1_20260629_225714.jsonl.gz,ok,148.344,221.151,279.074,284.074,369.267,148.12,220.92,5.0,85.19
run0041_C1_20260629_230721.jsonl.gz,ok,148.696,221.504,279.427,284.465,369.619,148.12,220.92,5.04,85.15
run0365_C1_20260630_080522.jsonl.gz,ok,148.245,221.283,278.283,283.283,366.322,145.04,218.08,5.0,83.04
run0367_C1_20260630_081512.jsonl.gz,ok,148.04,220.848,278.771,283.809,368.963,148.12,220.92,5.04,85.15
run0369_C1_20260630_082504.jsonl.gz,ok,147.925,220.733,278.694,283.694,374.156,153.42,226.23,5.0,90.46
run0371_C1_20260630_083500.jsonl.gz,ok,148.102,220.91,278.833,283.833,369.025,148.11,220.92,5.0,85.19
run0373_C1_20260630_084318.jsonl.gz,ok,147.868,220.675,278.637,283.637,374.098,153.42,226.23,5.0,90.46
run0375_C1_20260630_085316.jsonl.gz,ok,148.076,220.884,278.845,283.845,374.307,153.42,226.23,5.0,90.46
run0377_C1_20260630_090314.jsonl.gz,ok,148.359,221.166,279.128,284.166,374.589,153.42,226.23,5.04,90.42
run0379_C1_20260630_091312.jsonl.gz,ok,148.082,220.89,278.813,283.813,369.005,148.12,220.92,5.0,85.19
run0381_C1_20260630_092304.jsonl.gz,ok,147.996,220.804,278.727,283.727,368.919,148.11,220.92,5.0,85.19
run0383_C1_20260630_093256.jsonl.gz,ok,148.102,220.91,278.872,283.872,374.333,153.42,226.23,5.0,90.46
run0385_C1_20260630_094255.jsonl.gz,ok,148.117,220.925,278.886,283.925,374.348,153.42,226.23,5.04,90.42
run0387_C1_20260630_095253.jsonl.gz,ok,147.988,220.988,279.334,284.334,369.18,148.19,221.19,5.0,84.85
run0389_C1_20260630_100248.jsonl.gz,incomplete,,,,,,,,,
run0391_C1_20260630_100802.jsonl.gz,ok,147.892,220.699,278.661,283.661,374.122,153.42,226.23,5.0,90.46
run0393_C1_20260630_101800.jsonl.gz,ok,147.941,220.749,278.71,283.749,374.172,153.42,226.23,5.04,90.42
run0395_C1_20260630_102757.jsonl.gz,ok,148.049,220.856,278.818,283.856,374.279,153.42,226.23,5.04,90.42
run0397_C1_20260630_103755.jsonl.gz,ok,148.146,220.954,278.915,283.915,374.377,153.42,226.23,5.0,90.46
run0399_C1_20260630_104753.jsonl.gz,ok,147.796,220.604,278.565,283.604,374.027,153.42,226.23,5.04,90.42
run0401_C1_20260630_105751.jsonl.gz,ok,147.996,220.804,278.765,283.765,374.227,153.42,226.23,5.0,90.46
run0403_C1_20260630_110748.jsonl.gz,ok,147.991,220.799,278.76,283.799,374.222,153.42,226.23,5.04,90.42
run0405_C1_20260630_111746.jsonl.gz,ok,147.991,220.798,278.722,283.76,368.914,148.12,220.92,5.04,85.15
run0407_C1_20260630_112740.jsonl.gz,ok,148.004,220.812,278.773,283.812,374.235,153.42,226.23,5.04,90.42
run0409_C1_20260630_113736.jsonl.gz,ok,148.028,220.836,278.797,283.836,374.259,153.42,226.23,5.04,90.42
run0411_C1_20260630_114732.jsonl.gz,ok,148.25,221.058,279.02,284.02,374.481,153.42,226.23,5.0,90.46
run0413_C1_20260630_115731.jsonl.gz,ok,147.729,220.537,278.46,283.499,368.652,148.11,220.92,5.04,85.15
run0415_C1_20260630_120723.jsonl.gz,ok,147.747,220.555,278.517,283.517,373.978,153.42,226.23,5.0,90.46
run0417_C1_20260630_121719.jsonl.gz,ok,147.825,220.632,278.555,283.594,368.748,148.12,220.92,5.04,85.15
run0419_C1_20260630_122709.jsonl.gz,ok,147.666,220.474,278.397,283.436,368.59,148.12,220.92,5.04,85.15
run0421_C1_20260630_123701.jsonl.gz,ok,147.652,220.459,278.421,283.421,373.883,153.42,226.23,5.0,90.46
run0423_C1_20260630_124659.jsonl.gz,incomplete,,,,,,,,,
run0425_C1_20260630_125249.jsonl.gz,incomplete,,,,,,,,,
run0427_C1_20260630_125758.jsonl.gz,incomplete,,,,,,,,,
run0431_C1_20260630_130512.jsonl.gz,incomplete,147.784,220.591,,,,,,,
run0433_C1_20260630_131415.jsonl.gz,incomplete,,,,,,,,,
run0435_C1_20260630_132148.jsonl.gz,ok,147.673,220.481,278.443,283.443,373.904,153.42,226.23,5.0,90.46
run0437_C1_20260630_133146.jsonl.gz,ok,147.671,220.478,278.44,283.44,373.901,153.42,226.23,5.0,90.46
run0439_C1_20260630_134144.jsonl.gz,ok,147.7,220.508,278.47,283.47,373.931,153.42,226.23,5.0,90.46
run0441_C1_20260630_135143.jsonl.gz,ok,147.682,220.49,278.413,283.452,368.605,148.12,220.92,5.04,85.15
run0443_C1_20260630_140135.jsonl.gz,ok,147.751,220.559,278.444,283.482,368.674,148.11,220.92,5.04,85.19
run0445_C1_20260630_141125.jsonl.gz,ok,147.783,220.591,278.552,283.591,374.014,153.42,226.23,5.04,90.42
run0447_C1_20260630_142121.jsonl.gz,ok,147.74,220.548,278.509,283.548,373.971,153.42,226.23,5.04,90.42
run0449_C1_20260630_143119.jsonl.gz,ok,147.667,220.474,278.397,283.436,368.59,148.12,220.92,5.04,85.15
run0451_C1_20260630_144109.jsonl.gz,ok,147.746,220.515,278.515,283.515,373.977,153.46,226.23,5.0,90.46
run0453_C1_20260630_145107.jsonl.gz,ok,147.643,220.489,278.412,283.451,368.605,148.12,220.96,5.04,85.15
run0455_C1_20260630_150057.jsonl.gz,ok,147.674,220.481,278.404,283.404,368.597,148.12,220.92,5.0,85.19
run0457_C1_20260630_151048.jsonl.gz,ok,147.692,220.5,278.346,283.346,367.346,146.85,219.65,5.0,84.0
run0459_C1_20260630_152040.jsonl.gz,ok,147.765,220.573,278.496,283.534,368.688,148.11,220.92,5.04,85.15
run0461_C1_20260630_153033.jsonl.gz,ok,147.709,220.516,278.478,283.516,373.901,153.39,226.19,5.04,90.38
run0463_C1_20260630_154031.jsonl.gz,ok,147.726,220.533,278.495,283.533,373.956,153.42,226.23,5.04,90.42
run0465_C1_20260630_155027.jsonl.gz,ok,147.695,220.502,278.464,283.502,373.925,153.42,226.23,5.04,90.42
run0467_C1_20260630_160025.jsonl.gz,ok,147.872,220.679,278.602,283.641,368.795,148.12,220.92,5.04,85.15
run0469_C1_20260630_161018.jsonl.gz,ok,147.703,220.511,278.472,283.511,373.934,153.42,226.23,5.04,90.42
run0471_C1_20260630_162014.jsonl.gz,ok,147.697,220.505,278.466,283.466,373.928,153.42,226.23,5.0,90.46
run0473_C1_20260630_163012.jsonl.gz,ok,147.783,220.59,278.514,283.552,368.706,148.12,220.92,5.04,85.15
run0475_C1_20260630_164002.jsonl.gz,ok,147.698,220.506,278.429,283.429,368.621,148.11,220.92,5.0,85.19
run0477_C1_20260630_164954.jsonl.gz,ok,147.729,220.537,278.46,283.499,368.653,148.12,220.92,5.04,85.15
run0479_C1_20260630_165944.jsonl.gz,ok,147.685,220.492,278.415,283.454,368.608,148.12,220.92,5.04,85.15
run0481_C1_20260630_170934.jsonl.gz,ok,147.796,220.604,278.527,283.565,368.719,148.11,220.92,5.04,85.15
run0483_C1_20260630_171929.jsonl.gz,ok,147.727,220.766,277.766,282.766,365.804,145.04,218.08,5.0,83.04
run0485_C1_20260630_172919.jsonl.gz,ok,147.757,220.565,278.526,283.565,373.988,153.42,226.23,5.04,90.42
run0487_C1_20260630_173917.jsonl.gz,ok,147.678,220.486,278.409,283.409,368.601,148.12,220.92,5.0,85.19
run0489_C1_20260630_174909.jsonl.gz,ok,147.766,220.574,278.497,283.536,368.69,148.12,220.92,5.04,85.15
run0491_C1_20260630_175902.jsonl.gz,ok,147.706,220.514,278.475,283.514,373.937,153.42,226.23,5.04,90.42
run0493_C1_20260630_180859.jsonl,incomplete,147.766,220.573,,,,,,,
run0493_C1_20260630_181338.jsonl.gz,ok,408.028,480.835,538.758,543.797,628.951,148.12,220.92,5.04,85.15
run0495_C1_20260630_182326.jsonl.gz,ok,147.725,220.533,278.071,283.11,369.264,148.73,221.54,5.04,86.15
run0497_C1_20260630_183321.jsonl.gz,ok,147.883,220.691,278.652,283.652,374.114,153.42,226.23,5.0,90.46
run0499_C1_20260630_184319.jsonl.gz,ok,147.932,220.739,278.701,283.739,374.162,153.42,226.23,5.04,90.42
run0501_C1_20260630_185317.jsonl.gz,ok,148.176,220.983,278.945,283.945,374.406,153.42,226.23,5.0,90.46
run0503_C1_20260630_190316.jsonl.gz,ok,148.195,221.003,278.926,283.926,369.118,148.12,220.92,5.0,85.19
run0505_C1_20260630_191310.jsonl.gz,ok,148.135,220.942,278.904,283.942,374.365,153.42,226.23,5.04,90.42
run0507_C1_20260630_192309.jsonl.gz,ok,148.095,220.903,278.826,283.864,369.018,148.11,220.92,5.04,85.15
run0509_C1_20260630_193301.jsonl.gz,incomplete,,,,,,,,,
run0511_C1_20260630_193817.jsonl.gz,ok,148.753,221.561,279.446,284.446,372.946,151.39,224.19,5.0,88.5
run0513_C1_20260630_194818.jsonl.gz,ok,148.553,221.591,278.553,283.591,378.976,157.38,230.42,5.04,95.38
run0515_C1_20260630_195833.jsonl.gz,ok,148.579,221.387,279.348,284.387,374.81,153.42,226.23,5.04,90.42
run0517_C1_20260630_200833.jsonl.gz,ok,148.411,221.219,279.18,284.219,374.642,153.42,226.23,5.04,90.42
run0519_C1_20260630_201828.jsonl.gz,ok,148.575,221.383,279.306,284.345,369.498,148.11,220.92,5.04,85.15
run0521_C1_20260630_202824.jsonl.gz,ok,148.171,221.209,278.209,283.209,366.248,145.04,218.08,5.0,83.04
run0523_C1_20260630_203813.jsonl.gz,ok,148.314,221.122,279.045,284.083,369.237,148.12,220.92,5.04,85.15
run0525_C1_20260630_204807.jsonl.gz,ok,148.458,221.266,279.227,284.227,374.689,153.42,226.23,5.0,90.46
run0527_C1_20260630_205807.jsonl.gz,ok,148.001,220.809,278.732,283.77,368.924,148.11,220.92,5.04,85.15
run0529_C1_20260630_210800.jsonl.gz,ok,148.268,221.076,278.999,284.038,369.191,148.11,220.92,5.04,85.15
run0531_C1_20260630_211754.jsonl.gz,ok,148.325,221.133,279.056,284.094,369.248,148.11,220.92,5.04,85.15
run0533_C1_20260630_212747.jsonl.gz,ok,148.012,220.82,278.743,283.782,368.936,148.12,220.92,5.04,85.15
run0535_C1_20260630_213739.jsonl.gz,ok,148.464,221.272,279.195,284.233,369.387,148.12,220.92,5.04,85.15
run0537_C1_20260630_214733.jsonl.gz,ok,148.056,220.864,278.825,283.864,374.287,153.42,226.23,5.04,90.42
